id_empresa,ano,ingresos,ebitda,activos_totales,pasivos_totales,patrimonio,caja,gastos_intereses,cuentas_cobrar,inventario,cuentas_pagar
1,2021,3729407.452992574,571696.600924327,2650203.034760357,976385.8891190115,1673817.1456413455,464541.8211557329,55435.6996709114,527659.5383669765,645050.1883940691,398893.39861387725
1,2022,3800812.107825803,492125.5775673822,2839125.9177340814,1414130.056317813,1424995.8614162684,246021.53828924452,75145.26691525572,739223.8643041888,718775.7159544887,281486.98990323464
1,2023,3873583.903363318,469865.0152473043,3528443.789640991,1339218.0985272436,2189225.6911137477,232193.3866842206,64637.76846397105,725943.3085334335,300786.4943003683,244845.4911384779
2,2021,2884532.9155618437,397173.7889632256,2813343.806945424,1436273.9808631658,1377069.8260822583,378016.6619728702,59084.34085028159,663209.2540115053,460408.3478141076,213613.5987818716
2,2022,3154352.021204098,463803.48292260506,3530139.5279414463,1366111.3660014276,2164028.1619400186,306870.20917584223,52191.07445617154,591396.0908059881,270283.68093956605,310418.99132147996
2,2023,3449409.996327377,401384.5580901229,2716911.75678765,896560.2504999309,1820351.506287719,165004.9066198125,41876.90804784514,587251.2902812038,238538.94124930637,251943.8442261325
3,2021,1012724.4371732464,117886.30984590485,867276.206895355,437329.92174580786,429946.28514954716,105527.76975645951,19518.366775152328,224473.7304002742,126512.58757007988,103200.81148952749
3,2022,1052021.8625088346,121166.29667514587,907331.2118465042,377873.70369162044,529457.5081548837,47105.60800757156,18400.97472371324,203601.74699409393,201900.8936228906,90189.75709370867
3,2023,1092844.1721874098,144233.36904824214,923622.2660880818,418396.7032503483,505225.5628377335,54191.74034579012,20533.553911042884,209303.4001887164,176583.80069630942,93389.15025791629
4,2021,2211208.530889537,277328.0292632467,1429647.106790797,634369.7091180984,795277.3976726987,157638.59208321667,36950.901357207666,536375.9033407499,216325.15486166815,247735.1086854313
4,2022,2294863.4625501144,236255.54984736425,2495129.9234773093,1261277.684243943,1233852.2392333662,244134.69525298502,58026.136735253946,276877.9610844878,260824.24632016226,171482.73344171696
